機種,設定,信頼度,チェリービッグ公表,チェリービッグ実測,チェリーバケ公表,チェリーバケ実測
マイジャグラーV,1,解析一致(高),1/1424,1/1462.0,1/1092,1/1144.2
マイジャグラーV,2,解析一致(高),1/1395,1/1443.0,1/1074,1/1071.8
マイジャグラーV,3,解析一致(高),1/1365,1/1449.3,1/1057,1/1096.5
マイジャグラーV,4,解析一致(高),1/1285,1/1239.2,1/1008,1/1041.7
マイジャグラーV,5,解析一致(高),1/1214,1/1265.8,1/862,1/859.8
マイジャグラーV,6,解析一致(高),1/1130,1/1122.3,1/762,1/759.9
ファンキージャグラー2,1,推定値,1/1456,1/1392.8,1/1424,1/1414.4
ファンキージャグラー2,2,推定値,1/1365,1/1369.9,1/1394,1/1379.3
ファンキージャグラー2,3,推定値,1/1365,1/1297.0,1/1285,1/1265.8
ファンキージャグラー2,4,推定値,1/1337,1/1390.8,1/1149,1/1142.9
ファンキージャグラー2,5,推定値,1/1260,1/1245.3,1/1110,1/1098.9
ファンキージャグラー2,6,推定値,1/1191,1/1221.0,1/992,1/1006.0
ゴーゴージャグラー3,1,推定値(バケは出典分裂),1/1337,1/1275.5,1/1365,1/1335.1
ゴーゴージャグラー3,2,推定値(バケは出典分裂),1/1337,1/1324.5,1/1310,1/1275.5
ゴーゴージャグラー3,3,推定値(バケは出典分裂),1/1337,1/1383.1,1/1191,1/1194.7
ゴーゴージャグラー3,4,推定値(バケは出典分裂),1/1310,1/1324.5,1/1057,1/1036.3
ゴーゴージャグラー3,5,推定値(バケは出典分裂),1/1310,1/1295.3,1/964,1/982.3
ゴーゴージャグラー3,6,推定値(バケは出典分裂),1/1260,1/1184.8,1/910,1/892.1
ミスタージャグラー,1,解析一致(高),1/1680,1/1692.0,1/1680,1/1692.0
ミスタージャグラー,2,解析一致(高),1/1680,1/1644.7,1/1560,1/1605.1
ミスタージャグラー,3,解析一致(高),1/1524,1/1536.1,1/1394,1/1483.7
ミスタージャグラー,4,解析一致(高),1/1394,1/1398.6,1/1213,1/1156.1
ミスタージャグラー,5,解析一致(高),1/1285,1/1292.0,1/1074,1/1073.0
ミスタージャグラー,6,解析一致(高),1/1236,1/1278.8,1/1008,1/1000.0
ウルトラミラクルジャグラー,1,参考値,1/1365,1/1340.5,1/1638,1/1862.2
ウルトラミラクルジャグラー,2,参考値,1/1213,1/1209.2,1/1638,1/1602.6
ウルトラミラクルジャグラー,3,参考値,1/1149,1/1077.6,1/1337,1/1353.2
ウルトラミラクルジャグラー,4,参考値,1/1129,1/1116.1,1/1337,1/1310.6
ウルトラミラクルジャグラー,5,参考値,1/1024,1/1030.9,1/1191,1/1176.5
ウルトラミラクルジャグラー,6,参考値,1/936,1/912.4,1/1110,1/1059.3